номер,название сервера,серийный номер сервера,партийный номер сервера,компонент,количество,партийный номер компонента,описание компонента
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SG-A00,Disk 12 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SU-A00,Disk 13 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-1015-A00,Disk 24 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-101A-A00,Disk 25 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,CN-0DMC15-PESIT-0CP-06VY-A02,Disk 0 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,Drive,1,CN-0DMC15-PESIT-0CP-071J-A02,Disk 1 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00RX-A00,Disk 14 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00R4-A00,Disk 15 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02MX-A00,Disk 16 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02ED-A00,Disk 17 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02EA-A00,Disk 18 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02EG-A00,Disk 19 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02C4-A00,Disk 20 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02EN-A00,Disk 21 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02DN-A00,Disk 22 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02DX-A00,Disk 23 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,PCI,1,AHCI.Slot.3-1,AHCI controller in slot 3; BOSS-S1 Adapter
,,,,PCI,4,NIC.Slot.2-2-1,NIC in Slot 2 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,2,FC.Slot.1-1,Fibre Channel in Slot 1 Port 1; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
16,PowerEdge R750,44NXMZ3,KG3KD,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz
,,,,DIMM,4,HMAA8GR7CJR4N-XN,DDR4 DIMM; HMAA8GR7CJR4N-XN
,,,,PS,2,06C11WA03,"Power Supply 1; PWR SPLY,1400W,RDNT,LTON"
,,,,Drive,1,KR-0YHTJ0-SSW00-33U-02UR-A00,Disk 0 in Backplane 1 of RAID Controller in SL 3; MZ7L3960HCJRAD3; 959656755200
,,,,Drive,1,KR-0YHTJ0-SSW00-33U-02UM-A00,Disk 1 in Backplane 1 of RAID Controller in SL 3; MZ7L3960HCJRAD3; 959656755200
,,,,PCI,2,NIC.Slot.1-2-1,NIC in Slot 1 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,1,RAID.SL.3-1,RAID Controller in SL 3; PERC H755 Front
17,PowerEdge R640,479C7Y3,JXP9N,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz
,,,,DIMM,12,36ASF8G72PZ-3G2B2,DDR4 DIMM; 36ASF8G72PZ-3G2B2
,,,,PS,2,0KTW3MA00,"Power Supply 1; PWR SPLY,750W,RDNT,LTON"
,,,,Drive,1,KR-03397M-SK500-2CS-051K-A01,Disk 1 in Backplane 1 of RAID Controller in Slot 1; HFS480G3H2X069N; 479559942144
,,,,Drive,1,KR-03397M-SK500-2CS-050U-A01,Disk 0 in Backplane 1 of RAID Controller in Slot 1; HFS480G3H2X069N; 479559942144
,,,,PCI,1,RAID.Slot.1-1,RAID Controller in Slot 1; PERC H350 Adapter
,,,,PCI,2,FC.Slot.2-2,Fibre Channel in Slot 2 Port 2; LPe31002-M6-D 2-Port 16Gb Fibre Channel Adapter
,,,,PCI,2,NIC.Slot.3-1-1,NIC in Slot 3 Port 1 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
18,PowerEdge R750,4H1XXP3,6V45N,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz
,,,,DIMM,12,M393A8G40AB2-CWE,DDR4 DIMM; M393A8G40AB2-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-0VJM47-SSK00-1A1-0062-A01,Disk 0 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,Drive,1,KR-0VJM47-SSK00-1A1-00NR-A01,Disk 1 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,1,RAID.SL.1-1,RAID Controller in SL 1; PERC H755 Front
,,,,PCI,2,NIC.Slot.2-2-1,NIC in Slot 2 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,4,NIC.Slot.1-4-1,NIC in Slot 1 Port 4 Partition 1; Ethernet Server Adapter I350-T4
,,,,PCI,2,FC.Slot.7-2,Fibre Channel in Slot 7 Port 2; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
19,PowerEdge R750,4SPCKT3,PJ80M,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz
,,,,DIMM,2,M393A4K40EB3-CWE,DDR4 DIMM; M393A4K40EB3-CWE
,,,,DIMM,2,M393A4G43BB4-CWE,DDR4 DIMM; M393A4G43BB4-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-03397M-SK500-28G-04MU-A01,Disk 0 in Backplane 1 of RAID Controller in SL 3; HFS480G3H2X069N; 479559942144
,,,,Drive,1,S6EKNE0T501227,Disk 2 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,S6EKNE0T500116,Disk 3 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,KR-0VJM47-SSK00-1A1-00P1-A01,Disk 1 in Backplane 1 of RAID Controller in SL 3; MZ7LH480HBHQ0D3; 479559942144
,,,,Drive,1,S6EKNE0T709213,Disk 4 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,S6EKNE0T501241,Disk 5 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,PCI,4,NIC.Slot.2-2,NIC in Slot 2 Port 2; MT2894 Family [ConnectX-6 Lx]
,,,,PCI,4,NIC.Slot.7-3-1,NIC in Slot 7 Port 3 Partition 1; 4-port 1Gb Ethernet Adapter
,,,,PCI,1,RAID.SL.3-1,RAID Controller in SL 3; PERC H755 Front
20,PowerEdge R750,4TPCKT3,PJ80M,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz
,,,,DIMM,2,M393A4G43BB4-CWE,DDR4 DIMM; M393A4G43BB4-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-03397M-SK500-28G-04MM-A01,Disk 0 in Backplane 1 of RAID Controller in SL 3; HFS480G3H2X069N; 479559942144
,,,,Drive,1,S6EKNE0T709210,Disk 2 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,KR-0VJM47-SSK00-1A1-00M3-A01,Disk 1 in Backplane 1 of RAID Controller in SL 3; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,1,RAID.SL.3-1,RAID Controller in SL 3; PERC H755 Front
,,,,PCI,4,NIC.Slot.7-1-1,NIC in Slot 7 Port 1 Partition 1; 4-port 1Gb Ethernet Adapter
21,R740XD vSAN Ready Node,52XWTC3,6WXJT,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz
,,,,DIMM,12,36ASF8G72PZ-3G2E1,DDR4 DIMM; 36ASF8G72PZ-3G2E1
,,,,PS,2,0CMPGMA03,"Power Supply 1; PWR SPLY,1100W,RDNT,LTON"
,,,,Drive,1,CN-0DMC15-PESIT-0CP-06PR-A02,Disk 0 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,Drive,1,CN-0DMC15-PESIT-0CP-0714-A02,Disk 1 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SL-A00,Disk 0 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00R0-A00,Disk 1 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00RA-A00,Disk 2 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02FA-A00,Disk 3 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02FK-A00,Disk 4 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SF-A00,Disk 5 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02FF-A00,Disk 6 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00RB-A00,Disk 7 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02FG-A00,Disk 8 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02FJ-A00,Disk 9 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02FL-A00,Disk 10 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SE-A00,Disk 11 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-10IG-A00,Disk 24 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-10IB-A00,Disk 25 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,PCI,4,NIC.Slot.2-1-1,NIC in Slot 2 Port 1 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,1,AHCI.Slot.3-1,AHCI controller in slot 3; BOSS-S1 Adapter
,,,,PCI,2,FC.Slot.1-1,Fibre Channel in Slot 1 Port 1; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
22,PowerEdge R750,568DYP3,6V45N,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz
,,,,DIMM,12,M393A8G40AB2-CWE,DDR4 DIMM; M393A8G40AB2-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-0VJM47-SSK00-1A2-01TB-A01,Disk 1 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,Drive,1,KR-0VJM47-SSK00-1A1-0071-A01,Disk 0 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,4,NIC.Slot.1-4-1,NIC in Slot 1 Port 4 Partition 1; Ethernet Server Adapter I350-T4
,,,,PCI,2,NIC.Slot.2-2-1,NIC in Slot 2 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,1,RAID.SL.1-1,RAID Controller in SL 1; PERC H755 Front
,,,,PCI,2,FC.Slot.7-2,Fibre Channel in Slot 7 Port 2; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
23,PowerEdge R640,579C7Y3,JXP9N,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz
,,,,DIMM,4,M393A8G40BB4-CWE,DDR4 DIMM; M393A8G40BB4-CWE
,,,,PS,2,0KTW3MA00,"Power Supply 1; PWR SPLY,750W,RDNT,LTON"
,,,,Drive,1,TW-06JGT5-PIHIT-22I-01LP-A04,Disk 1 in Backplane 1 of RAID Controller in Slot 1; SSDSC2KG480G8R; 479559942144
,,,,Drive,1,TW-06JGT5-PIHIT-22I-01LG-A04,Disk 0 in Backplane 1 of RAID Controller in Slot 1; SSDSC2KG480G8R; 479559942144
,,,,PCI,1,RAID.Slot.1-1,RAID Controller in Slot 1; PERC H350 Adapter
,,,,PCI,2,NIC.Slot.3-2-1,NIC in Slot 3 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,2,FC.Slot.2-2,Fibre Channel in Slot 2 Port 2; LPe31002-M6-D 2-Port 16Gb Fibre Channel Adapter
24,PowerEdge R750,5SNMHQ3,PJ80M,CPU,2,CPU.Socket.1,CPU 1; Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz
,,,,DIMM,12,M393A8G40AB2-CWE,DDR4 DIMM; M393A8G40AB2-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-0VJM47-SSK00-1A1-02PG-A01,Disk 1 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,Drive,1,KR-0VJM47-SSK00-1AD-00BC-A01,Disk 0 in Backplane 1 of RAID Controller in SL 1; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,2,NIC.Slot.1-1-1,NIC in Slot 1 Port 1 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,1,RAID.SL.1-1,RAID Controller in SL 1; PERC H755 Front
,,,,PCI,4,NIC.Slot.2-4-1,NIC in Slot 2 Port 4 Partition 1; Ethernet Server Adapter I350-T4
,,,,PCI,2,FC.Slot.7-1,Fibre Channel in Slot 7 Port 1; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
25,PowerEdge R750,5SPCKT3,PJ80M,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz
,,,,DIMM,2,M393A4G43BB4-CWE,DDR4 DIMM; M393A4G43BB4-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-03397M-SK500-28G-04MW-A01,Disk 0 in Backplane 1 of RAID Controller in SL 3; HFS480G3H2X069N; 479559942144
,,,,Drive,1,S6EKNE0T709187,Disk 2 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,KR-0VJM47-SSK00-1AC-04P9-A01,Disk 1 in Backplane 1 of RAID Controller in SL 3; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,4,NIC.Slot.7-4-1,NIC in Slot 7 Port 4 Partition 1; 4-port 1Gb Ethernet Adapter
,,,,PCI,1,RAID.SL.3-1,RAID Controller in SL 3; PERC H755 Front
26,PowerEdge R750,5SPCKT3,PJ80M,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz
,,,,DIMM,2,M393A4G43BB4-CWE,DDR4 DIMM; M393A4G43BB4-CWE
,,,,PS,2,0MGPPCA02,"Power Supply 1; PWR SPLY,800W,RDNT,DELTA"
,,,,Drive,1,KR-03397M-SK500-28G-04MW-A01,Disk 0 in Backplane 1 of RAID Controller in SL 3; HFS480G3H2X069N; 479559942144
,,,,Drive,1,S6EKNE0T709187,Disk 2 in Backplane 1 of RAID Controller in SL 3; SAMSUNG MZ7L3960; 959656755200
,,,,Drive,1,KR-0VJM47-SSK00-1AC-04P9-A01,Disk 1 in Backplane 1 of RAID Controller in SL 3; MZ7LH480HBHQ0D3; 479559942144
,,,,PCI,4,NIC.Slot.7-4-1,NIC in Slot 7 Port 4 Partition 1; 4-port 1Gb Ethernet Adapter
,,,,PCI,1,RAID.SL.3-1,RAID Controller in SL 3; PERC H755 Front
27,R740XD vSAN Ready Node,62XWTC3,6WXJT,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz
,,,,DIMM,12,36ASF8G72PZ-3G2E1,DDR4 DIMM; 36ASF8G72PZ-3G2E1
,,,,PS,2,0CMPGMA03,"Power Supply 1; PWR SPLY,1100W,RDNT,LTON"
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02MN-A00,Disk 0 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02E8-A00,Disk 1 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02MZ-A00,Disk 2 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02E5-A00,Disk 3 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02DD-A00,Disk 4 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02DL-A00,Disk 5 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02E0-A00,Disk 6 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02EC-A00,Disk 7 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SY-A00,Disk 8 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SM-A00,Disk 9 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00TA-A00,Disk 10 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00ST-A00,Disk 11 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SP-A00,Disk 12 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00SZ-A00,Disk 13 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-10IC-A00,Disk 24 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,SG-0XMWMK-MCS00-0B4-10IE-A00,Disk 25 in Backplane 1 of Integrated RAID Controller 1; MTFDDAK960TDT; 959656755200
,,,,Drive,1,CN-0DMC15-PESIT-0CP-06XA-A02,Disk 0 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,Drive,1,CN-0DMC15-PESIT-0CP-072N-A02,Disk 1 on AHCI Controller in slot 3; SSDSCKKB240G8R; 240057409536
,,,,PCI,4,NIC.Slot.4-2-1,NIC in Slot 4 Port 2 Partition 1; BCM57412 NetXtreme-E 10Gb RDMA Ethernet Controller
,,,,PCI,2,FC.Slot.1-1,Fibre Channel in Slot 1 Port 1; LPe31002-M6 2-Port 16Gb Fibre Channel Adapter
,,,,PCI,1,AHCI.Slot.3-1,AHCI controller in slot 3; BOSS-S1 Adapter
28,R740XD vSAN Ready Node,63XWTC3,6WXJT,CPU,2,CPU.Socket.2,CPU 2; Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz
,,,,DIMM,12,36ASF8G72PZ-3G2E1,DDR4 DIMM; 36ASF8G72PZ-3G2E1
,,,,PS,2,0CMPGMA03,"Power Supply 1; PWR SPLY,1100W,RDNT,LTON"
,,,,Drive,1,KR-09F9Y6-SSK00-0BH-02EB-A00,Disk 0 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
,,,,Drive,1,KR-09F9Y6-SSK00-0BI-00P8-A00,Disk 1 in Backplane 1 of Integrated RAID Controller 1; MZ7LH1T9HALT0D3; 1919716163584
